epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
108,228.115,0.01234,0.93103,1,0.36536,0.00014407,0.00014407,0.00014407
109,230.605,0.03373,0.93103,1,0.34607,0.00014308,0.00014308,0.00014308
110,233.042,0.0255,0.93103,1,0.33765,0.00014209,0.00014209,0.00014209
111,235.382,0.02046,0.93103,1,0.38345,0.0001411,0.0001411,0.0001411
112,238.052,0.03103,0.93103,1,0.35168,0.00014011,0.00014011,0.00014011
113,240.609,0.0753,0.93103,1,0.3656,0.00013912,0.00013912,0.00013912
114,243.016,0.02043,0.94828,1,0.37354,0.00013813,0.00013813,0.00013813
115,245.474,0.03792,0.93103,1,0.36761,0.00013714,0.00013714,0.00013714
116,247.597,0.04451,0.93103,1,0.34778,0.00013615,0.00013615,0.00013615
117,249.607,0.02211,0.93103,1,0.38937,0.00013516,0.00013516,0.00013516
118,251.647,0.02503,0.93103,1,0.34439,0.00013417,0.00013417,0.00013417
119,253.591,0.02104,0.93103,1,0.38123,0.00013318,0.00013318,0.00013318
120,255.642,0.02609,0.89655,1,0.31654,0.00013219,0.00013219,0.00013219
121,257.574,0.02556,0.91379,1,0.3241,0.0001312,0.0001312,0.0001312
122,259.583,0.03768,0.91379,1,0.33127,0.00013021,0.00013021,0.00013021
123,261.587,0.03647,0.91379,1,0.35608,0.00012922,0.00012922,0.00012922
124,263.588,0.03839,0.91379,1,0.38995,0.00012823,0.00012823,0.00012823
125,265.549,0.01077,0.91379,1,0.35315,0.00012724,0.00012724,0.00012724
126,267.501,0.01858,0.91379,1,0.38721,0.00012625,0.00012625,0.00012625
127,269.483,0.00886,0.89655,1,0.37085,0.00012526,0.00012526,0.00012526
128,271.467,0.02218,0.91379,1,0.36133,0.00012427,0.00012427,0.00012427
129,273.388,0.01855,0.91379,1,0.40234,0.00012328,0.00012328,0.00012328
130,275.35,0.02488,0.91379,1,0.3761,0.00012229,0.00012229,0.00012229
131,277.44,0.0118,0.91379,1,0.38196,0.0001213,0.0001213,0.0001213
132,279.449,0.00869,0.91379,1,0.42444,0.00012031,0.00012031,0.00012031
133,281.408,0.02184,0.91379,1,0.38904,0.00011932,0.00011932,0.00011932
134,283.412,0.07712,0.93103,1,0.35815,0.00011833,0.00011833,0.00011833
135,285.544,0.04596,0.91379,1,0.35901,0.00011734,0.00011734,0.00011734
136,287.553,0.01384,0.89655,1,0.33167,0.00011635,0.00011635,0.00011635
137,289.588,0.00607,0.89655,1,0.30304,0.00011536,0.00011536,0.00011536
138,291.647,0.01897,0.91379,1,0.31647,0.00011437,0.00011437,0.00011437
139,293.592,0.00942,0.91379,1,0.31769,0.00011338,0.00011338,0.00011338
140,295.639,0.01259,0.91379,1,0.37611,0.00011239,0.00011239,0.00011239
141,297.566,0.05427,0.91379,1,0.3634,0.0001114,0.0001114,0.0001114
142,299.537,0.01964,0.91379,1,0.3159,0.00011041,0.00011041,0.00011041
143,301.433,0.02106,0.93103,1,0.32013,0.00010942,0.00010942,0.00010942
144,303.403,0.01953,0.93103,1,0.31696,0.00010843,0.00010843,0.00010843
145,305.39,0.05525,0.91379,1,0.32208,0.00010744,0.00010744,0.00010744
146,307.457,0.00533,0.93103,1,0.35834,0.00010645,0.00010645,0.00010645
