epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,196.544,0.20152,0.26394,0.79488,0.99817,1,0.995,0.995,0.18503,0.19874,0.73572,0.0004655,0.0004655,0.0004655
64,199.294,0.21594,0.28113,0.80554,0.99818,1,0.995,0.995,0.17715,0.20065,0.73488,0.00044075,0.00044075,0.00044075
65,202.007,0.19683,0.2642,0.80104,0.99817,1,0.995,0.995,0.16346,0.18715,0.73393,0.000416,0.000416,0.000416
66,204.789,0.206,0.26998,0.82107,0.99818,1,0.995,0.995,0.15958,0.19055,0.73348,0.00039125,0.00039125,0.00039125
67,207.572,0.19841,0.29213,0.8138,0.99818,1,0.995,0.995,0.15543,0.20284,0.73425,0.0003665,0.0003665,0.0003665
68,210.329,0.18821,0.26216,0.80052,0.99817,1,0.995,0.995,0.15248,0.19418,0.73484,0.00034175,0.00034175,0.00034175
69,213.025,0.18984,0.26034,0.80562,0.99816,1,0.995,0.995,0.15054,0.18534,0.73487,0.000317,0.000317,0.000317
70,215.738,0.20253,0.26832,0.80785,0.99814,1,0.995,0.995,0.15726,0.17997,0.73355,0.00029225,0.00029225,0.00029225
71,223.873,0.17007,0.2747,0.78807,0.99815,1,0.995,0.995,0.15,0.17665,0.73288,0.0002675,0.0002675,0.0002675
72,226.663,0.16627,0.2625,0.76079,0.99811,1,0.995,0.995,0.13913,0.17294,0.73312,0.00024275,0.00024275,0.00024275
73,229.382,0.15896,0.26179,0.75739,0.99814,1,0.995,0.995,0.13585,0.16807,0.73342,0.000218,0.000218,0.000218
74,232.358,0.16339,0.26111,0.76346,0.99817,1,0.995,0.995,0.15851,0.17476,0.7342,0.00019325,0.00019325,0.00019325
75,235.112,0.16428,0.25554,0.76277,0.99816,1,0.995,0.995,0.17362,0.16664,0.73482,0.0001685,0.0001685,0.0001685
76,237.814,0.17361,0.26516,0.76682,0.99817,1,0.995,0.995,0.15822,0.16229,0.73314,0.00014375,0.00014375,0.00014375
77,240.479,0.15735,0.24584,0.76467,0.99819,1,0.995,0.995,0.14876,0.15635,0.73242,0.000119,0.000119,0.000119
78,243.141,0.15913,0.24266,0.79534,0.99817,1,0.995,0.995,0.1449,0.15065,0.73234,9.425e-05,9.425e-05,9.425e-05
79,245.809,0.15574,0.24486,0.75013,0.99816,1,0.995,0.995,0.14369,0.15021,0.73313,6.95e-05,6.95e-05,6.95e-05
80,248.439,0.15861,0.24093,0.73816,0.99818,1,0.995,0.995,0.14023,0.14835,0.73284,4.475e-05,4.475e-05,4.475e-05
